屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 許可年月日, 許可番号
あしくぼネット,内一円,,,,飲食店営業（露店）,勝山　育子,2015/06/16,30019990
あんじゅ,葵区常磐町一丁目,５番地の７,ノースプラザビル３階,,飲食店営業（バー）,有地　路子,2015/06/12,30019985
イオン清水店,清水区上原一丁目,６番１６号,,054-344-2500,喫茶店営業（喫茶店）,イオンリテール　株式会社,2015/06/01,50009745
ウエルシア清水横砂店,清水区横砂本町,１８番２８号,,054-371-5660,乳類販売業,ウエルシア薬局　株式会社,2015/06/15,50009754
ウエルシア清水横砂店,清水区横砂本町,１８番２８号,,054-371-5660,食肉販売業（包装食肉）,ウエルシア薬局　株式会社,2015/06/15,50009755
うしづま水辺の楽校売店,内一円,,,,飲食店営業（露店）,川津　通久,2015/06/26,30020012
オールド上海カフェ１９３０,葵区七間町,１０番地の８,松風堂ビル２０１号,,飲食店営業（食堂）,石田　博昭,2015/06/09,30019965
おかむら　珈琲,内一円,,,,飲食店営業（露店）,岡村　和伸,2015/06/24,30020010
おかめ,清水区押切,７８８番地の１,,,飲食店営業（酒場）,小塩　かな江,2015/06/26,50009767
グレース,駿河区南町,７番９号,サウスパラシオン２階２０２,,飲食店営業（バー）,石橋　克也,2015/06/12,30019979
サークルＫ　静岡おおや店,駿河区大谷三丁目,３０番２８号,,054-238-9500,飲食店営業（その他）,株式会社　サークルＫサンクス,2015/06/02,30019952
サークルＫ　静岡おおや店,駿河区大谷三丁目,３０番２８号,,054-238-9500,乳類販売業,株式会社　サークルＫサンクス,2015/06/02,30019953
サナッシュ,駿河区稲川一丁目,１番３２号,,054-288-0880,飲食店営業（バー）,有限会社　サナッシュ,2015/06/02,30019958
しゃぶしゃぶ温野菜　静岡呉服町店,葵区両替町二丁目,４番地の２０,玄南ビル２Ｆ,054-275-0831,飲食店営業（食堂）,有限会社　ｆａｎカンパニー,2015/06/17,30019992
ジューンベリー,清水区由比阿僧,２７９番地,,054-375-2333,飲食店営業（食堂）,田邊　寿,2015/06/25,50009762
しろくまジャム,葵区鷹匠一丁目,２番５号,鷹一山梨ビル１階,054-266-7626,飲食店営業（食堂）,武馬　千恵,2015/06/24,30020007
セレナーデ,清水区巴町,７番１９号２Ｆ,,,飲食店営業（バー）,出口　美佳,2015/06/22,50009760
たこやき竹,葵区北安東一丁目,２８番２９号,,,飲食店営業（酒場）,金子　仁枝,2015/06/11,30019971
タリーズコーヒー　清水駅前店,内一円,,,,飲食店営業（露店）,有限会社　レストラン桃園,2015/06/15,50009756
テラス・きらっと,清水区下野東,７番１６号,,054-364-2021,みそ製造業,特定非営利活動法人　たからじま,2015/06/25,50009763
なぎさ園,清水区増,１０５番地の１,,054-334-1975,飲食店営業（その他）,中村　嘉宏,2015/06/08,50009752
び・ふう,清水区旭町,４番１５号,,,菓子製造業,合同会社　指定障害福祉サービス・びふう,2015/06/10,50009753
ファミリーマート清水南矢部店,清水区南矢部,５２０番地の１,,054-355-1071,飲食店営業（その他）,廣瀬　由佳,2015/06/04,50009746
ファミリーマート清水南矢部店,清水区南矢部,５２０番地の１,,054-355-1071,乳類販売業,廣瀬　由佳,2015/06/04,50009747
ファミリーマート清水南矢部店,清水区南矢部,５２０番地の１,,054-355-1071,食肉販売業（包装食肉）,廣瀬　由佳,2015/06/04,50009748
ベジカルネ／彩助,葵区御幸町,６番地,静岡セントラルビル２階,054-260-4740,飲食店営業（酒場）,株式会社　Ｊｉｇｓａｗ,2015/06/12,30019984
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,飲食店営業（仕出し屋）,マックスバリュ東海　株式会社,2015/06/30,30020015
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,飲食店営業（弁当屋）,マックスバリュ東海　株式会社,2015/06/30,30020013
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,菓子製造業,マックスバリュ東海　株式会社,2015/06/30,30020014
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,魚介類販売業,マックスバリュ東海　株式会社,2015/06/30,30020017
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,喫茶店営業（喫茶店）,マックスバリュ東海　株式会社,2015/06/30,30020016
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,乳類販売業,マックスバリュ東海　株式会社,2015/06/30,30020019
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,食肉販売業（包装食肉）,マックスバリュ東海　株式会社,2015/06/30,30020018
ミニストップ静岡瀬名川店,葵区瀬名川二丁目,３９番２７号,,054-264-7766,飲食店営業（弁当屋）,望月　正明,2015/06/19,30019996
ミニストップ静岡瀬名川店,葵区瀬名川二丁目,３９番２７号,,054-264-7766,乳類販売業,望月　正明,2015/06/19,30019997
ミニストップ静岡瀬名川店,葵区瀬名川二丁目,３９番２７号,,054-264-7766,食肉販売業（包装食肉）,望月　正明,2015/06/19,30019998
やきとり竜鳳　宇都宮８８０あ１３１６,内一円,,,,飲食店営業（露店） 注）自動車,株式会社　全国チェーン竜鳳,2015/06/15,50009757
ルート２３,清水区巴町,７番３号　コーポＳＩＶ　２ＦＡ号,,,飲食店営業（バー）,岩崎　正,2015/06/25,50009765
ローソン　静岡丸子二丁目店,駿河区丸子二丁目,４番２０号,,054-259-6566,飲食店営業（その他）,株式会社　ＣＯＵＴＯ,2015/06/11,30019972
ローソン　静岡丸子二丁目店,駿河区丸子二丁目,４番２０号,,054-259-6566,菓子製造業,株式会社　ＣＯＵＴＯ,2015/06/11,30019975
ローソン　静岡丸子二丁目店,駿河区丸子二丁目,４番２０号,,054-259-6566,魚介類販売業（包装魚介類）,株式会社　ＣＯＵＴＯ,2015/06/11,30019976
ローソン　静岡丸子二丁目店,駿河区丸子二丁目,４番２０号,,054-259-6566,乳類販売業,株式会社　ＣＯＵＴＯ,2015/06/11,30019974
ローソン　静岡丸子二丁目店,駿河区丸子二丁目,４番２０号,,054-259-6566,食肉販売業（包装食肉）,株式会社　ＣＯＵＴＯ,2015/06/11,30019973
・和の国,葵区秋山町,１５番８号,,,飲食店営業（食堂）,坂田　大祐,2015/06/22,30020001
稲荷丸,清水区由比今宿,３０８番地の８,,054-375-4368,魚介類販売業,望月　要,2015/06/10,50009758
飲み家　美馬,駿河区登呂四丁目,２６番２３号,,054-269-6638,飲食店営業（酒場）,有限会社　美馬工業,2015/06/17,30019993
佳子,葵区両替町二丁目,４番地の５,カリオビル８Ｆ　８０２号室,,飲食店営業（バー）,森田　佳子,2015/06/02,30019959
宮﨑水産,葵区新富町一丁目,３番地の１０,,054-251-1355,魚介類販売業,宮﨑　伸二,2015/06/02,30019960
幸寿し,駿河区南町,６番７号,入船横丁,054-283-6520,飲食店営業（すし屋）,瀧川　昌亮,2015/06/23,30020005
三幸,駿河区中原,７８７番地の１,,054-281-9918,飲食店営業（酒場）,鈴木　孝昌,2015/06/16,30019987
志庵,葵区常磐町一丁目,４番地の２,ハラダビル２F,054-252-1505,飲食店営業（酒場）,白鳥　祐次,2015/06/24,30020009
旨いと想う料理とお酒　くおい,清水区有度本町,５番２７号,,,飲食店営業（酒場）,片山　明弘,2015/06/04,50009749
沼田酒店,内一円,,,054-352-0223,飲食店営業（露店）,沼田　晋吾,2015/06/29,50009768
食堂　ラ・ヴァリエ,葵区水落町,５番１２号,,,飲食店営業（食堂）,松浦　敏春,2015/06/02,30019954
静岡銀行　本部,清水区草薙北,２番１号,,054-237-1311,飲食店営業（食堂） 注）自販機,株式会社　ジャパンビバレッジホールディングス,2015/06/25,50009766
赤トンボ荘,葵区北,１２９１番地,,054-248-5555,飲食店営業（仕出し屋）,株式会社　Ｏ.Ｄ.Ｍセンター,2015/06/02,30019955
東海キヨスク株式会社　ベルマート静岡６０１号,葵区黒金町,５０番地,アスティ東館,054-203-7028,喫茶店営業（喫茶店）,東海キヨスク　株式会社,2015/06/02,30019951
日本トイザらス㈱静岡店,清水区鳥坂,８６０番地,,054-237-1311,乳類販売業 注）自販機,株式会社　ジャパンビバレッジホールディングス,2015/06/22,50009759
八十伴,葵区鷹匠一丁目,１４番３２号,,054-250-0011,飲食店営業（酒場）,株式会社　Ｄ　ＳＰＩＲＩＴＳ　ＷＯＲＬＤ　,2015/06/02,30019957
鵬水産　株式会社,葵区流通センター,１番１号,,054-263-3355,魚介類販売業,鵬水産　株式会社,2015/06/16,30019989
末廣建設株式会社,内一円,,,,飲食店営業（露店）,末廣建設　株式会社,2015/06/05,50009751
満嬉多,駿河区稲川一丁目,９番２３号,,054-285-1288,飲食店営業（食堂）,槇田　芳明,2015/06/11,30019977
有限会社　なかじま園,葵区新間,１０８９番地の２０８,,054-278-9791,食品の冷凍又は冷蔵業,有限会社　なかじま園,2015/06/22,30020000
和キュイジーヌ　こるど,内一円,,,054-252-0123,飲食店営業（露店）,株式会社　エクサス,2015/06/10,30019968
萬屋／ほのか,葵区呉服町二丁目,３番地の１,ふしみやビルＢ１Ｆ,,飲食店営業（酒場）,株式会社　Ｊｉｇｓａｗ,2015/06/12,30019983
