屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 許可年月日, 許可番号
たまごの星,葵区柚木,１９１番地,マークイズ静岡３Ｆ,054-297-5200,飲食店営業（食堂）,株式会社　ハンザワ,2015/07/07,30020052
タリーズコーヒーウィズイトーヤＡＳＴＹ静岡店,葵区黒金町,２９番地,アスティ静岡西館内,054-266-6953,飲食店営業（食堂）,タリーズコーヒージャパン株式会社,2015/07/07,30020053
デイサービス　福助,駿河区中原,４９３番地の１,,054-269-6683,飲食店営業（仕出し屋）,株式会社　ＫＥＩＴＯ,2015/07/29,30020132
とみ井,内一円,,,,飲食店営業（露店）,株式会社　冨井,2015/07/15,30020079
とんかつ惣菜　,駿河区中島,６７１番地,,054-282-8526,飲食店営業（弁当屋）,村　保和,2015/07/29,30020129
どんぶり屋,内一円,,,,飲食店営業（露店）,有限会社　静岡洞江水産,2015/07/31,30020135
どん福,清水区島崎町,１４９番地,河岸の市　まぐろ館１Ｆ,,飲食店営業（食堂）,株式会社　清ユウ,2015/07/17,50009783
なないろ,内一円,,,,飲食店営業（露店）,高橋　智子,2015/07/30,30020133
フィガロ,葵区新富町六丁目,５番地の６,,,飲食店営業（食堂）,坂下　泰寿,2015/07/15,30020078
ほっとあん,清水区西大曲町,９番１号,,,飲食店営業（その他）,有限会社　中村住宅,2015/07/29,50009789
ホテル　パンテオン,清水区鳥坂,５６３番地の１,,054-346-3344,飲食店営業（旅館）,株式会社　昭和物産,2015/07/17,50009785
まごころタウン静岡,駿河区弥生町,４番２６号,,054-278-6313,喫茶店営業（喫茶店） 注）自販機,コカ・コーライーストジャパン　株式会社,2015/07/24,30020120
みのりキッチン,内一円,,,054-263-8139,飲食店営業（露店）,株式会社　こめやフードサービス,2015/07/22,30020104
モイ,駿河区古宿,２９４番地,,,飲食店営業（食堂）,坂本　温美,2015/07/15,30020075
やきとり竜鳳　宇都宮　８８０　あ７６,内一円,,,054-366-4092,飲食店営業（露店） 注）自動車,株式会社　全国チェーン竜鳳,2015/07/28,50009788
ライフタイムバリュー静岡,葵区城北二丁目,９番２１号,,054-246-5870,魚介類販売業,合同会社　ライフタイム・バリュー,2015/07/15,30020077
ライフタイムバリュー静岡,葵区城北二丁目,９番２１号,,054-246-5870,食肉販売業（精肉）,合同会社　ライフタイム・バリュー,2015/07/15,30020076
ローソン静岡七間町店,葵区七間町,１７番地の１,エンブルタワー七間町１０１,054-272-3355,飲食店営業（その他）,有限会社　アクティブ,2015/07/09,30020064
ローソン静岡七間町店,葵区七間町,１７番地の１,エンブルタワー七間町１０１,054-272-3355,菓子製造業,有限会社　アクティブ,2015/07/09,30020068
ローソン静岡七間町店,葵区七間町,１７番地の１,エンブルタワー七間町１０１,054-272-3355,魚介類販売業（包装魚介類）,有限会社　アクティブ,2015/07/09,30020067
ローソン静岡七間町店,葵区七間町,１７番地の１,エンブルタワー七間町１０１,054-272-3355,乳類販売業,有限会社　アクティブ,2015/07/09,30020065
ローソン静岡七間町店,葵区七間町,１７番地の１,エンブルタワー七間町１０１,054-272-3355,食肉販売業（包装食肉）,有限会社　アクティブ,2015/07/09,30020066
ローソン静岡西脇南店,駿河区西脇,６８４番地の１,,054-287-8533,飲食店営業（その他）,遠藤　博巳,2015/07/01,30020029
ローソン静岡西脇南店,駿河区西脇,６８４番地の１,,054-287-8533,菓子製造業,遠藤　博巳,2015/07/01,30020031
ローソン静岡西脇南店,駿河区西脇,６８４番地の１,,054-287-8533,魚介類販売業（包装魚介類）,遠藤　博巳,2015/07/01,30020032
ローソン静岡西脇南店,駿河区西脇,６８４番地の１,,054-287-8533,乳類販売業,遠藤　博巳,2015/07/01,30020030
ローソン静岡西脇南店,駿河区西脇,６８４番地の１,,054-287-8533,食肉販売業（包装食肉）,遠藤　博巳,2015/07/01,30020033
鰻　鷹匠,清水区巴町,９番２３号　佐野ビル１階,,,飲食店営業（酒場）,片桐　聡允,2015/07/16,50009782
永田屋,内一円,,,,飲食店営業（露店）,永田　昭次,2015/07/04,50009775
艶美,葵区紺屋町,１２番地の５,カプチーノビル６階,054-273-5540,飲食店営業（バー）,株式会社　Ｂｅａｕｔｙ・Ｋ,2015/07/13,30020073
横浜屋,駿河区西脇,８６２番地の２,,054-283-7586,飲食店営業（食堂）,鈴木　一太郎,2015/07/01,30020036
楽多厨房　新静岡セノバ店,葵区鷹匠一丁目,１番１号,ＢＦ,054-266-7154,飲食店営業（弁当屋）,株式会社　和田フードセンター,2015/07/01,30020026
株式会社　高栄　清水工場,清水区七ッ新屋,４３７番地の４,,054-376-6080,魚介類販売業,株式会社　高栄,2015/07/06,50009778
季節料理　成,葵区両替町二丁目,３番地の４,ＳＴビル１階,054-221-9894,飲食店営業（食堂）,吉成　哲生,2015/07/21,30020086
亀翠園,葵区諸子沢,１番地,,054-291-2588,飲食店営業（食堂）,森藤　翠,2015/07/02,30020040
居酒屋　てんちょう　２,内一円,,,,飲食店営業（露店）,井出　清仁,2015/07/04,50009779
居酒屋　なかむら,駿河区中田三丁目,５番４３号,,,飲食店営業（酒場）,江島　倫子,2015/07/09,30020063
業務スーパー静岡千代田店,葵区千代田二丁目,１番１３号,,054-248-9000,魚介類販売業（包装魚介類）,株式会社　マキヤ,2015/07/02,30020039
業務スーパー静岡千代田店,葵区千代田二丁目,１番１３号,,054-248-9000,乳類販売業,株式会社　マキヤ,2015/07/02,30020037
業務スーパー静岡千代田店,葵区千代田二丁目,１番１３号,,054-248-9000,食肉販売業（包装食肉）,株式会社　マキヤ,2015/07/02,30020038
串カツ　田中　静岡呉服町通り店,葵区呉服町二丁目,３番地の５,,054-205-2367,飲食店営業（食堂）,タイタコーポレイション　株式会社,2015/07/27,30020123
桂山花火会　浦田美智子,内一円,,,,飲食店営業（露店）,浦田　美智子,2015/07/21,30020093
五鉄牛豚鳥,駿河区東新田二丁目,１６番３５号,,054-266-3289,飲食店営業（食堂）,時山　昌久,2015/07/29,30020128
肴菜,駿河区八幡三丁目,２１番３号,,,飲食店営業（酒場）,佐野　勇治,2015/07/29,30020130
三代目　一期一恵,駿河区小鹿一丁目,９番１４号,,054-286-2864,飲食店営業（食堂）,石岡　一恵,2015/07/09,30020062
山幸,駿河区丸子,６０８８番地,,054-257-3228,飲食店営業（食堂）,株式会社　メディカルフィットネス　フォルツア,2015/07/01,30020035
山中商店１,内一円,,,,飲食店営業（露店）,山中　勇治,2015/07/04,50009770
山中商店２,内一円,,,,飲食店営業（露店）,山中　勇治,2015/07/04,50009771
山中商店３,内一円,,,,飲食店営業（露店）,山中　勇治,2015/07/04,50009772
山中商店４,内一円,,,,飲食店営業（露店）,山中　勇治,2015/07/04,50009773
山中商店５,内一円,,,,飲食店営業（露店）,山中　勇治,2015/07/04,50009774
四川料理・火鍋　躍飛,内一円,,,,飲食店営業（露店）,株式会社　躍飛,2015/07/29,30020131
駿河呑喰処　のっち,内一円,,,,飲食店営業（露店）,福島　絹代,2015/07/08,30020057
昭和の清水湊酒場　泰平くん節,清水区真砂町,１番３８号　１Ｆ,,054-364-1112,飲食店営業（食堂）,株式会社　龍享,2015/07/02,50009769
松坂屋静岡店　ウィークリーグルメ,葵区御幸町,１０番地の２,松坂屋静岡店　本館地階　催事場,054-254-1111,飲食店営業（季節的食堂）,株式会社　大丸松坂屋百貨店,2015/07/08,30020058
焼肉　ありらん,清水区真砂町,３番９号,,054-366-5022,飲食店営業（食堂）,株式会社　ＪＳＫ,2015/07/17,50009784
鐘庵　水道町,葵区水道町,１１５番地の２,,054-274-1177,飲食店営業（そば屋）,品川　加保子,2015/07/21,30020087
厨房　Ｍ　ｃａｓｅ,内一円,,,054-272-3370,飲食店営業（露店）,増田　慶介,2015/07/23,30020117
厨房　Ｍ　ｃａｓｅ,葵区本通十丁目,１１番地の１,,054-330-1278,飲食店営業（食堂）,増田　慶介,2015/07/21,30020084
酔ってけや小河内,葵区千代田二丁目,２番４２号,,054-246-7879,飲食店営業（バー）,望月　勇,2015/07/07,30020044
清水港寿司特急　まぐろ屋バンノウ水産,清水区島崎町,１４９番地,清水魚市場「河岸の市まぐろ館」１階,054-355-3950,飲食店営業（食堂）,株式会社　バンノウ水産,2015/07/13,50009780
静岡萬屋　ほのか,内一円,,,,飲食店営業（露店）,株式会社　Ｊｉｇｓａｗ,2015/07/21,30020085
創作珈琲工房　くれあーる,葵区紺屋町,６番地の７,静岡パルコ地下１階,054-654-8302,喫茶店営業（喫茶店）,村松　一也,2015/07/17,30020081
爽鶏屋　静岡呉服町店,内一円,,,054-251-0020,飲食店営業（露店）,坂本　圭亮,2015/07/28,30020125
中華飯店　担担,駿河区下島,６１５番地の３,,054-237-3731,飲食店営業（食堂）,藤原　亮一,2015/07/09,30020059
朝原労務会計事務所,清水区蒲原一丁目,４番２１号,,054-385-5539,飲食店営業（その他）,朝原　邦夫,2015/07/06,50009776
東海キヨスク　株式会社  グランドキヨスク静岡,葵区黒金町,４７番地,アスティ西館,054-283-0896,乳類販売業,東海キヨスク　株式会社,2015/07/01,30020021
平山の里,内一円,,,,飲食店営業（露店）,鈴木　まさえ,2015/07/02,30020043
麺や　心粋,葵区常磐町二丁目,１２番地の２,,054-269-6604,飲食店営業（酒場）,株式会社　心粋,2015/07/09,30020061
麺屋　やまもと,葵区七間町,１１番地の５,イマココビル１－１７,,飲食店営業（食堂）,山本　洋一,2015/07/13,30020070
有限会社　あーと,内一円,,,,飲食店営業（露店）,有限会社　あーと,2015/07/17,30020080
洋子,駿河区丸子二丁目,１番４号,,,飲食店営業（食堂）,瀧　洋子,2015/07/07,30020048
立ち呑みＢａｒ　ＫＡＭＩＧＯＫＵ,葵区本通二丁目,３番地の１１,,,飲食店営業（バー）,望月　建太朗,2015/07/22,30020107
凜　,葵区紺屋町,１２番地の５,カプチーノ８階,,飲食店営業（バー）,株式会社　Ｂｅａｕｔｙ・Ｋ,2015/07/13,30020071
