屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 許可年月日, 許可番号
グランツ,駿河区敷地一丁目,１８番２８号,,054-237-1076,飲食店営業（食堂）,株式会社　グランツ,2015/10/26,30020416
グランツ,駿河区敷地一丁目,１８番２８号,,054-237-1076,喫茶店営業（喫茶店） 注）自販機,株式会社　グランツ,2015/10/26,30020417
サラパタヤ,内一円,,,,飲食店営業（露店）,木手間　大利,2015/10/11,30020381
シェーブル,駿河区谷田,４１番３０号,アベニューサモン　１０３号室,,飲食店営業（食堂）,畠山　昌丈,2015/10/5,30020347
シド・フィリップス,清水区旭町,５番４号,栄華ビル２階　２－１号,,飲食店営業（バー）,松下　哲也,2015/10/26,50009853
ズースクエア静岡,駿河区富士見台一丁目,１９番１２号,,054-280-1130,喫茶店営業（喫茶店） 注）自販機,株式会社　マーフィード,2015/10/9,30020380
セブン－イレブン　静岡宮竹１丁目店,駿河区宮竹一丁目,１１番９号,,054-238-3199,飲食店営業（その他）,大石　泰也,2015/10/26,30020411
セブン－イレブン　静岡宮竹１丁目店,駿河区宮竹一丁目,１１番９号,,054-238-3199,乳類販売業,大石　泰也,2015/10/26,30020412
セブン－イレブン　静岡宮竹１丁目店,駿河区宮竹一丁目,１１番９号,,054-238-3199,食肉販売業（包装食肉）,大石　泰也,2015/10/26,30020413
ディアマンテ,葵区両替町二丁目,５番地の４,両替町プラザビル地下１階Ａ室,054-253-0813,飲食店営業（バー）,青野　将太,2015/10/26,30020406
てんぷら　成生,葵区鷹匠二丁目,５番１２号,,054-273-0703,飲食店営業（食堂）,株式会社　成生,2015/10/13,30020388
パンプキン,清水区蒲原小金,２２６番地,,054-385-2556,飲食店営業（弁当屋）,遠藤　淳子,2015/10/5,50009838
ファーマーズキッチン・メイ,清水区大平,５０１番地の１,,054-396-3133,菓子製造業,大石　るり子,2015/10/22,50009850
ファミリーホール船越,清水区船越三丁目,１４番１号,,054-355-1412,飲食店営業（食堂）,株式会社　スギヤマ・コーポレーション,2015/10/14,50009844
ファン　タイムス,内一円,,,,飲食店営業（露店）,松岡　夏樹,2015/10/8,50009840
ほっともっと　静岡みずほ店,駿河区みずほ三丁目,２番地の２４,,054-268-7231,飲食店営業（弁当屋）,株式会社　プレナス,2015/10/28,30020437
マスカット,清水区大沢町,４番１号,,054-352-0113,飲食店営業（酒場）,遠藤　佳代,2015/10/28,50009856
マックスバリュエクスプレス　清水追分店,清水区追分一丁目,３番１８号,,054-364-0818,喫茶店営業（喫茶店） 注）自販機,マックスバリュ東海　株式会社,2015/10/14,50009843
マックスバリュエクスプレス　静岡西脇店,駿河区西脇,４７番地,,054-202-8555,喫茶店営業（喫茶店） 注）自販機,マックスバリュ東海　株式会社,2015/10/13,30020390
マックスパリュ静岡丸子店,駿河区北丸子一丁目,５番５号,,054-256-2290,喫茶店営業（喫茶店）,マックスバリュ東海　株式会社,2015/10/5,30020354
ラーメン魁力屋　静岡インター店,駿河区中村町,３０１番地の１,,054-266-3179,飲食店営業（食堂）,株式会社　魁力屋,2015/10/19,30020397
ローソン静岡新伝馬二丁目店,葵区新伝馬二丁目,１１番６号,,054-275-2550,飲食店営業（その他）,株式会社　濱千代,2015/10/28,30020431
ローソン静岡新伝馬二丁目店,葵区新伝馬二丁目,１１番６号,,054-275-2550,菓子製造業,株式会社　濱千代,2015/10/28,30020434
ローソン静岡新伝馬二丁目店,葵区新伝馬二丁目,１１番６号,,054-275-2550,乳類販売業,株式会社　濱千代,2015/10/28,30020432
ローソン静岡新伝馬二丁目店,葵区新伝馬二丁目,１１番６号,,054-275-2550,食肉販売業（包装食肉）,株式会社　濱千代,2015/10/28,30020433
ワイン食堂　グルマン,葵区伝馬町,８番地の３,松崎ビル１Ｆ,054-270-9181,飲食店営業（食堂）,株式会社　エムエンタープライズ,2015/10/28,30020429
わさび路　おざわ,葵区横山,１番地の２－１,,054-293-2319,そうざい製造業,小澤　慶洋,2015/10/20,30020398
わらんちゃー,内一円,,,054-221-7777,飲食店営業（露店）,神谷　悦子,2015/10/26,30020418
海人,葵区両替町二丁目,４番地の５,カリオビル２０２号,054-250-0155,飲食店営業（酒場）,株式会社　エムウィンド,2015/10/7,30020370
海野　哲平,内一円,,,,飲食店営業（露店）,海野　哲平,2015/10/30,30020440
丸福製茶　株式会社,内一円,,,,飲食店営業（露店）,丸福製茶　株式会社,2015/10/13,30020391
居酒屋　ハン,葵区上土二丁目,１６番４８号,,,飲食店営業（酒場）,原田　繁,2015/10/13,30020384
御月,内一円,,,,飲食店営業（露店）,望月　美雪,2015/10/26,50009855
産直プラザ　ふれっぴー　小島店,清水区但沼町,５３２番地の１,,054-393-3939,飲食店営業（仕出し屋）,株式会社　ジェイエイしみずサービス,2015/10/19,50009847
産直プラザ　ふれっぴー　小島店,清水区但沼町,５３２番地の１,,054-393-3939,魚介類販売業,株式会社　ジェイエイしみずサービス,2015/10/19,50009848
産直プラザ　ふれっぴー　大坪店,清水区大坪二丁目,３番１０号,,054-347-1777,魚介類販売業,株式会社　ジェイエイしみずサービス,2015/10/22,50009849
手打ち蕎麦　とおるや,駿河区高松二丁目,１番３５号,草冠舎１０１号,054-266-9380,飲食店営業（そば屋）,株式会社　ホットライフ社,2015/10/26,30020414
酒菜屋　ＩＫＥＧＡＭＩ,清水区草薙二丁目,２番３号,,054-345-1115,飲食店営業（酒場）,池上　嘉一,2015/10/13,50009841
寿し徳,駿河区丸子三丁目,７番４号,,054-259-3333,飲食店営業（弁当屋）,野口　善明,2015/10/23,30020405
昭和食堂　静岡呉服町店,葵区呉服町二丁目,３番地の１０,平和苑美濃屋ビル１階,054-275-2222,飲食店営業（酒場）,株式会社　海帆,2015/10/5,30020348
静岡第一水産　株式会社,葵区二番町,１番地の１８,,054-252-3111,食品の冷凍又は冷蔵業,静岡第一水産　株式会社,2015/10/5,30020351
千鳥,清水区西大曲町,１番２０号,,,飲食店営業（食堂）,平野　公子,2015/10/28,50009858
素敵にステーキ,葵区両替町二丁目,７番地の１,,,飲食店営業（食堂）,白鳥　吉彦,2015/10/7,30020371
増田農園,内一円,,,,飲食店営業（露店）,増田　剛志,2015/10/13,30020385
台湾料理　福龍,駿河区東新田一丁目,１１番２８号,,054-259-4422,飲食店営業（食堂）,大揚　株式会社,2015/10/2,30020346
大胡椒,葵区御幸町,１０番地の２,松坂屋静岡店８Ｆ,,飲食店営業（食堂）,株式会社　ジョルダン,2015/10/5,30020353
大政丸,清水区由比町屋原,３５３番地の８,,054-375-2718,魚介類販売業,有限会社　大政丸,2015/10/5,50009837
炭焼き鰻　瞬,葵区長沼,８１９番地,,054-294-7178,飲食店営業（食堂）,岡田　健一,2015/10/26,30020415
堀池,清水区小河内,３５４１番地,,054-393-3003,そうざい製造業,堀池　清美,2015/10/1,50009836
堀池,清水区小河内,３５４１番地,,054-393-3003,飲食店営業（仕出し屋）,堀池　清美,2015/10/1,50009835
麺屋　燕Ｒｓ,葵区駿府町,１番１５号,,054-270-9178,飲食店営業（食堂）,有限会社　アールズカンパニー,2015/10/21,30020401
麺屋　日出次,葵区鷹匠三丁目,１番１号,,054-251-0033,飲食店営業（食堂）,中山　貴詞,2015/10/21,30020400
㈲　松永酒店,清水区下野西,３番２８号,,054-365-3393,飲食店営業（酒場）,有限会社　松永酒店,2015/10/14,50009845
遊月,葵区紺屋町,７番地の１４－２０２,,054-252-8810,飲食店営業（酒場）,奥田　博海,2015/10/28,30020436
李家,葵区東草深町,４番１５号,,054-209-0203,飲食店営業（食堂）,李　炳南,2015/10/28,30020430
裏手参道,葵区御幸町,７番地の５－３,アイセイドービル３Ｆ,054-251-2791,飲食店営業（酒場）,塚本　律匡,2015/10/19,30020396
立呑み屋　「笑」,清水区真砂町,８番５号,,,飲食店営業（酒場）,中澤　ﾑﾑ,2015/10/29,50009859
和風ラウンジ　こもれび,葵区昭和町,６番地の１２,求友亭ビル５階Ｂ,054-221-8778,飲食店営業（バー）,呂　梦嬋,2015/10/2,30020345
※期間限定営業施設を除く,,,,,,,,
