屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 当初許可年月日, 許可年月日, 許可番号
ＧＡＮＧＡ　ＪＡＭＵＮＡ,駿河区敷地一丁目,１０番２２号,,054-238-2559,飲食店営業（食堂）,ＤＩＰＡＫ　ＲＡＪ　ＲＥＧＭＩ,,2015/04/15,30019813
ＧＬＡＭＯＲＯＳＡ,清水区旭町,３番１９号１階,,054-353-5968,飲食店営業（キャバレー）,樋川　マリア　セシリア,,2015/04/08,50009689
ＨＡ ＨＡ ＨＡ,駿河区西島,１２４５番地,,054-251-5115,飲食店営業（食堂）,石切山　太一,,2015/04/02,30019765
ＨＡＮＤ　ＣＡＦＥ,清水区八木間町,１１５７番地の１,,054-369-3010,飲食店営業（食堂）,佐野　雅代,,2015/04/30,50009717
Ｉｍｏｖａｔｉｏｎ,駿河区馬渕四丁目,１４番５号,,,飲食店営業（仕出し屋）,岩本　知,,2015/04/17,30019814
Ｉｍｏｖａｔｉｏｎ,駿河区馬渕四丁目,１４番５号,,,菓子製造業,岩本　知,,2015/04/17,30019815
Ｌａｕｎｇｅ　Ｋａｎｏｎ,清水区相生町,９番５号,田中ビル１階,054-353-1546,飲食店営業（バー）,竹内　由紀,,2015/04/27,50009712
Ｌｏｕｎｇｅ　Ｚｏｏ,葵区常磐町一丁目,４番地の５,パレスⅡ６Ｆ,054-251-3739,飲食店営業（バー）,小林　千寿,,2015/04/13,30019793
ＬＵＣＥ,葵区昭和町,１番地の５,ＳＳタワービル４階,,飲食店営業（バー）,江﨑　将也,,2015/04/27,30019838
ＱＵＥＥＮ　ｏｆ　ＨＥＡＲＴＳ,葵区呉服町二丁目,７番地の１１,幸福ビル１階左側,054-269-6461,飲食店営業（食堂）,株式会社　ＡＳＥＥＤ,,2015/04/27,30019839
ＱＵＥＥＮ　ｏｆ　ＨＥＡＲＴＳ,葵区呉服町二丁目,７番地の１１,幸福ビル１階左側,054-269-6461,菓子製造業,株式会社　ＡＳＥＥＤ,,2015/04/27,30019840
Ｒｅｓｔａｕｒａｎｔ　＆　Ｃａｆｅ　Ｂｏｎ,葵区沓谷五丁目,１１番地の６,,054-294-8904,飲食店営業（食堂）,茨城　秀樹,,2015/04/08,30019776
Ｓａｌｕｔｅ,葵区昭和町,４番地の３,メリッサビル５Ｂ,054-207-7867,飲食店営業（バー）,柴﨑　茂,,2015/04/08,30019787
ｓｎａｃｋ　ｃａｔｈｙ,清水区巴町,１０番２９号,,,飲食店営業（バー）,下坂　エマ,,2015/04/13,50009696
ＳＰＡＣ　出張カフェ,内一円,,,,飲食店営業（露店）,公益財団法人　静岡県舞台芸術センター,,2015/04/24,30019837
ＴＡＶＥＳ　ＧＵＩＴＡ,葵区両替町二丁目,６番地の２,金時ビル１Ｆ,054-266-4629,飲食店営業（酒場）,佐藤　真通,,2015/04/27,30019848
ＹＡМＡ　ｎо　ｋｉｔｃｈｅｎ,清水区宮下町,１０番４７号,,054-376-6687,飲食店営業（食堂）,山田　正哉,,2015/04/13,50009694
うさぎ,葵区両替町二丁目,７番地の５,パレスⅣ４Ｆ,054-255-8778,飲食店営業（バー）,安部　紀世,,2015/04/06,30019773
エスフーズ　株式会社　静岡営業所,駿河区向敷地,８４８番地の１,,054-256-3329,食肉販売業（包装食肉）,エスフーズ　株式会社,,2015/04/27,30019850
かくれ家　ろぶ村,清水区真砂町,５番２５号,１階,054-363-6667,飲食店営業（酒場）,松岡　夏樹,,2015/04/22,50009703
かつや静岡七ツ新屋店,清水区七ッ新屋,４１８番地の１,,054-388-9433,飲食店営業（食堂）,タニザワフーズ株式会社,,2015/04/13,50009692
カラオケＢａｎＢａｎ　静岡唐瀬店,葵区上足洗四丁目,８番３１号,,054-248-6116,飲食店営業（その他）,株式会社　シン・コーポレーション,,2015/04/15,30019806
カレー工房　ライク,清水区草薙一里山,２６番９号,,054-346-2772,飲食店営業（弁当屋）,ＮＰО法人　ニット工房ライク,,2015/04/17,50009697
がんたぁ屋,駿河区下川原三丁目,１９番２５号,,054-269-6557,飲食店営業（食堂）,岩田　正直,,2015/04/21,30019818
ごはん屋　さくら,清水区由比今宿,１０２７番地の８,,054-376-0101,飲食店営業（食堂）,伊藤　忠雅,,2015/04/01,50009683
さとす,清水区巴町,７番１６号,,,飲食店営業（酒場）,禪洲　幸一朗,,2015/04/30,50009718
サワイリ食品　株式会社,清水区三保,３２６６番地の６,,054-237-1311,喫茶店営業（喫茶店） 注）自販機,株式会社　ジャパンビバレッジホールディングズ,,2015/04/27,50009711
シェフの作ったナポリタン,内一円,,,,飲食店営業（露店）,森　隆司,,2015/04/02,30019766
しろくまジャム,内一円,,,,飲食店営業（露店）,武馬　千恵,,2015/04/15,30019797
スペース　Ｍ,葵区川辺町二丁目,３番２１号,１Ｆ,054-252-3526,飲食店営業（弁当屋）,三浦　りよ子,,2015/04/22,30019831
セレーネ,清水区万世町一丁目,１番８号,,054-352-6776,飲食店営業（バー）,宮垣　健二,,2015/04/21,50009699
セロリ,駿河区丸子新田,２２６番地,２Ｆ,054-257-3805,飲食店営業（食堂）,市川　厚美,,2015/04/27,30019847
とみ井,葵区常磐町一丁目,２番地の７,,054-274-0666,飲食店営業（食堂）,株式会社　冨井,,2015/04/03,30019769
とみ井,葵区常磐町一丁目,２番地の７,,054-274-0666,そうざい製造業,株式会社　冨井,,2015/04/03,30019770
ドルフィン,葵区山崎一丁目,２４番地の１３,,054-278-3093,飲食店営業（バー）,岩崎　文代,,2015/04/27,30019849
のぶ,葵区常磐町一丁目,８番地の２,アスピスⅡ　２階,054-260-6521,飲食店営業（すし屋）,前田　浩延,,2015/04/01,30019751
のへそ　うたげ,駿河区南町,３番２２号,,054-266-5115,飲食店営業（酒場）,Ｓａｋｕｒａ　Ｐｌａｎｎｉｎｇ　株式会社,,2015/04/17,30019817
のみくい処　きんぼし,駿河区南町,１１番２９号,サンパレスホテル　１Ｆ,,飲食店営業（酒場）,合同会社　敦盛,,2015/04/22,30019830
ハートライフ押切,清水区押切,８４５番地の２,,054-348-1688,飲食店営業（食堂）,株式会社　マックトレス,,2015/04/13,50009693
パブ　瑠覇運一世,清水区巴町,１２番２号,新清水ビル２階,054-351-1655,飲食店営業（バー）,沖田　隆行,,2015/04/24,50009708
ハマイチ水産清水工場,清水区袖師町,１９７４番地の３９,,,魚介類販売業,ハマイチ水産　株式会社,,2015/04/22,50009707
ハマイチ水産清水工場,清水区袖師町,１９７４番地の３９,,,食品の冷凍又は冷蔵業,ハマイチ水産　株式会社,,2015/04/22,50009706
パラダイス,葵区紺屋町,１３番地の２,ニュータウンビル５階,,飲食店営業（バー）,合同会社　アーク,,2015/04/01,30019754
ビックファン,内一円,,,,飲食店営業（露店）,川嶋　紳也,,2015/04/30,30019868
ファミリーマート　静岡用宗店,駿河区広野三丁目,２９番１３号,,054-256-5138,魚介類販売業（包装魚介類）,有限会社　エクスト,,2015/04/27,30019851
ふしみ家,葵区本通西町,３３番地の２,,054-255-2112,飲食店営業（酒場）,伏見　章,,2015/04/08,30019779
プレミアムハートライフ大岩,葵区大岩一丁目,８番１４号,,054-200-8300,飲食店営業（食堂）,株式会社　マックトレス,,2015/04/14,30019795
ベルクック,駿河区小鹿一丁目,６８番４７号,,054-287-6383,飲食店営業（自動車）,長倉　満男,,2015/04/01,30019755
ほっともっと　静岡登呂６丁目店,駿河区登呂六丁目,２番２１号,,054-654-5261,飲食店営業（弁当屋）,齋藤　美津樹,,2015/04/01,30019748
まごころタウン　静岡事業所,駿河区弥生町,４番２６号,,054-265-2034,飲食店営業（食堂）,株式会社　ホームラン・システムズ,,2015/04/14,30019794
まんが喫茶　一刻　静岡駅北口店,葵区紺屋町,８番地の１３,内野ビル２Ｆ,054-275-2015,飲食店営業（食堂）,株式会社　ハウマッチ,,2015/04/30,30019866
みなと家　麺神,清水区真砂町,７番１９号,,054-366-9200,飲食店営業（食堂）,松岡　夏樹,,2015/04/22,50009704
ミニストップ　静岡御幸町店,葵区御幸町,１１番地の８,山口駅前ビル１階,054-254-0776,飲食店営業（弁当屋）,株式会社　ＡＫシズオカ,,2015/04/27,30019857
ミニストップ　静岡御幸町店,葵区御幸町,１１番地の８,山口駅前ビル１階,054-254-0776,乳類販売業,株式会社　ＡＫシズオカ,,2015/04/27,30019841
ミニストップ　静岡御幸町店,葵区御幸町,１１番地の８,山口駅前ビル１階,054-254-0776,食肉販売業（包装食肉）,株式会社　ＡＫシズオカ,,2015/04/27,30019842
ミニストップ　静岡瀬名南店,葵区瀬名川一丁目,３０番１５号,,054-265-1430,飲食店営業（弁当屋）,株式会社　ＡＫシズオカ,,2015/04/27,30019845
ミニストップ　静岡瀬名南店,葵区瀬名川一丁目,３０番１５号,,054-265-1430,乳類販売業,株式会社　ＡＫシズオカ,,2015/04/27,30019843
ミニストップ　静岡瀬名南店,葵区瀬名川一丁目,３０番１５号,,054-265-1430,食肉販売業（包装食肉）,株式会社　ＡＫシズオカ,,2015/04/27,30019844
ミニストップ　静岡敷地店,駿河区敷地一丁目,２７番１号,,054-237-5480,飲食店営業（その他）,ミニストップ　株式会社,,2015/04/08,30019782
ミニストップ　静岡敷地店,駿河区敷地一丁目,２７番１号,,054-237-5480,乳類販売業,ミニストップ　株式会社,,2015/04/08,30019783
ミニストップ　静岡敷地店,駿河区敷地一丁目,２７番１号,,054-237-5480,食肉販売業（包装食肉）,ミニストップ　株式会社,,2015/04/08,30019784
ミニストップ清水鶴舞町店,清水区鶴舞町,７番１８号,,054-363-1870,飲食店営業（その他）,有限会社　ティー・エス,,2015/04/06,50009686
ミニストップ清水鶴舞町店,清水区鶴舞町,７番１８号,,054-363-1870,乳類販売業,有限会社　ティー・エス,,2015/04/06,50009687
ミニストップ清水鶴舞町店,清水区鶴舞町,７番１８号,,054-363-1870,食肉販売業（包装食肉）,有限会社　ティー・エス,,2015/04/06,50009688
ミニストップ静岡谷田店,駿河区谷田,３２番３号,,054-264-0107,飲食店営業（弁当屋）,鈴木　清晴,,2015/04/27,30019853
ミニストップ静岡谷田店,駿河区谷田,３２番３号,,054-264-0107,乳類販売業,鈴木　清晴,,2015/04/27,30019854
ミニストップ静岡谷田店,駿河区谷田,３２番３号,,054-264-0107,食肉販売業（包装食肉）,鈴木　清晴,,2015/04/27,30019855
らーめん　一本,駿河区宮竹一丁目,１３番１２号,,054-238-5539,飲食店営業（食堂）,桑原　博文,,2015/04/23,30019835
ラスタバ,内一円,,,,飲食店営業（自動車）,武田　倫宣,,2015/04/27,30019856
レインボーワゴン,内一円,,,,飲食店営業（自動車）,松木　治,,2015/04/21,50009701
ローソン静岡呉服町店,葵区呉服町二丁目,８番地の１,アイランドプラザビル１階,054-275-0031,飲食店営業（その他）,有限会社　アクティブ,,2015/04/15,30019807
ローソン静岡呉服町店,葵区呉服町二丁目,８番地の１　,アイランドプラザビル１階,054-275-0031,菓子製造業,有限会社　アクティブ,,2015/04/15,30019808
ローソン静岡呉服町店,葵区呉服町二丁目,８番地の１　,アイランドプラザビル１階,054-275-0031,魚介類販売業（包装魚介類）,有限会社　アクティブ,,2015/04/15,30019811
ローソン静岡呉服町店,葵区呉服町二丁目,８番地の１　,アイランドプラザビル１階,054-275-0031,乳類販売業,有限会社　アクティブ,,2015/04/15,30019809
ローソン静岡呉服町店,葵区呉服町二丁目,８番地の１　,アイランドプラザビル１階,054-275-0031,食肉販売業（包装食肉）,有限会社　アクティブ,,2015/04/15,30019810
飲みもんや　南,駿河区馬渕四丁目,７２番,,,飲食店営業（その他）,家高　忍,,2015/04/08,30019778
奥田商店,内一円,,,,飲食店営業（露店）,樫尾　裕之,,2015/04/01,30019764
海どん,駿河区泉町,５番３４号,,054-281-5465,飲食店営業（食堂）,有限会社　海どん,,2015/04/30,30019861
学校法人水元学園　認定こども園　ひばり幼稚園,駿河区用宗四丁目,１８番２８号,,054-259-2502,飲食店営業（食堂）,株式会社　食彩工房駿河,,2015/04/01,30019753
学校法人名古屋大原学園　静岡校１Ｆ,葵区柚木,１０３番地の１,,054-237-1311,飲食店営業（食堂） 注）自販機,株式会社　ジャパンビバレッジホールディングス,,2015/04/01,30019749
学校法人名古屋大原学園　静岡校３Ｆ,葵区柚木,１０３番地の１,,054-237-1311,飲食店営業（食堂） 注）自販機,株式会社　ジャパンビバレッジホールディングス,,2015/04/01,30019750
株式会社　ＡＢＣモール,駿河区鎌田,３０８番地,,054-201-2211,菓子製造業,株式会社　ＡＢＣモール,,2015/04/27,30019852
株式会社　マルヨ,清水区蒲原四丁目,１４番５号,,054-385-4835,魚介類販売業,株式会社　マルヨ,,2015/04/30,50009716
株式会社フリーデン　静岡工場,駿河区光陽町,７番地,,054-258-3616,食肉処理業,株式会社　フリーデン,,2015/04/30,30019863
株式会社フリーデン　静岡工場,駿河区光陽町,７番地,,054-258-3616,食肉製品製造業,株式会社　フリーデン,,2015/04/30,30019865
株式会社フリーデン　静岡工場,駿河区光陽町,７番地,,054-258-3616,そうざい製造業,株式会社　フリーデン,,2015/04/30,30019864
丸紅(株),駿河区南町,１８番１号,サウスポットビル１４Ｆ,054-237-1311,飲食店営業（食堂） 注）自販機,株式会社　ジャパンビバレッジホールディングス,,2015/04/13,30019792
居酒屋　はな,駿河区八幡三丁目,２１番３号,,054-283-8150,飲食店営業（酒場）,岩﨑　靖子,,2015/04/15,30019812
喰海,葵区両替町二丁目,１番地の７,青葉田園ビルＢ１Ｆ,,飲食店営業（酒場）,袴田　尚美,,2015/04/08,30019786
手打ち大黒うどん,清水区小島町,８６番地の４,,,飲食店営業（食堂）,鈴木　忠男,,2015/04/01,50009684
酒場　岩科,清水区蒲原四丁目,３２番２５号,,054-385-3447,飲食店営業（酒場）,岩科　清治,,2015/04/13,50009691
寿々半,葵区常磐町一丁目,７番地の３,,054-251-0410,飲食店営業（酒場）,前島　一仁,,2015/04/08,30019788
小径,清水区巴町,１０番２５号,,,飲食店営業（バー）,角田　美知子,,2015/04/13,50009695
小池鮮魚店,駿河区有明町,１０番５号,,054-286-1673,魚介類販売業,小池　保之,,2015/04/14,30019796
松のや,葵区呉服町二丁目,１番地の１５,青葉ビル１Ｆ,054-272-3080,飲食店営業（弁当屋）,株式会社　静岡ファーム,,2015/04/13,30019790
上州太田焼きそばＥｎＪＯＹ麺ｂｅｒＳ,内一円,,,,飲食店営業（露店）,今井　英雄,,2015/04/03,30019767
聖光学院ルセール寮,駿河区小鹿,１４２０番地の１,,054-203-5272,飲食店営業（弁当屋）,株式会社　サンタモンコーポレーション,,2015/04/03,30019771
聖光学院売店フランボー,駿河区小鹿,１４４０番地,,054-288-7795,乳類販売業,株式会社　サンタモンコーポレーション,,2015/04/03,30019772
青壮年部　由比蒲原支部,内一円,,,,飲食店営業（露店）,望月　崇久,,2015/04/01,50009685
静岡市役所静岡庁舎地下１階,葵区追手町,５番１号,,054-278-6311,喫茶店営業（喫茶店） 注）自販機,コカ・コーライーストジャパン　株式会社,,2015/04/13,30019791
静岡城北高等学校　第２校舎１Ｆ,葵区北安東二丁目,３番１号,,054-202-7718,乳類販売業 注）自販機,株式会社　パブリック・ベンディング・サービス,,2015/04/08,30019777
中国パブ　歓迎,葵区紺屋町,１２番地の４,クニヨシ紺屋町ビル　３階　７・８号,,飲食店営業（バー）,　暁旭,,2015/04/01,30019752
珍来　有明店,駿河区有明町,１０番６号,,054-286-5510,飲食店営業（食堂）,加藤　正夫,,2015/04/08,30019775
天文本店,葵区七間町,４番地,静活ボウルビル１Ｆ,054-252-0510,飲食店営業（食堂）,株式会社　天文本店,,2015/04/13,30019789
田見食料品店,駿河区有明町,１０番５号,１２棟,054-285-1382,飲食店営業（そうざい屋）,田見　千代乃,,2015/04/23,30019832
田見食料品店,駿河区有明町,１０番５号,１２棟,054-285-1382,乳類販売業,田見　千代乃,,2015/04/23,30019833
田中商店,内一円,,,,飲食店営業（露店）,田中　義明,,2015/04/01,30019744
呑み処　きむら,駿河区泉町,４番３９号,Ｕフラット１０１,,飲食店営業（酒場）,木村　慧子,,2015/04/27,30019846
農家の食卓,内一円,,,054-334-0038,飲食店営業（露店）,高橋　幸裕,,2015/04/24,50009710
飛翔寮,清水区三保,２１１３番地,,054-336-1281,飲食店営業（食堂）,株式会社　静岡富士サービス,,2015/04/22,50009705
富士山高原　株式会社,清水区興津東町,１２１０番地の１,,054-369-0118,そうざい製造業,富士山高原　株式会社,,2015/04/27,50009715
福豚,内一円,,,,飲食店営業（露店）,有限会社　シオザワ・レジャー開発デザイン研究,,2015/04/15,30019798
麻雀　麻龍,清水区旭町,７番２５号,保科ビル２階２０１号室,,飲食店営業（食堂）,川　琴美,,2015/04/27,50009713
麻雀荘　辻,清水区辻一丁目,６番１号,辻ビル２階東側,,飲食店営業（食堂）,野村　昭博,,2015/04/21,50009698
味の藤七,内一円,,,,飲食店営業（露店）,株式会社　藤七,,2015/04/22,50009702
木の子,葵区口坂本,６６６番地の２,,,飲食店営業（その他）,山野井　桂子,,2015/04/23,30019836
薬膳健康堂,葵区竜南一丁目,６番１号,,054-247-1900,そうざい製造業,堀　哲也,,2015/04/08,30019780
㈲桜寿し,葵区横田町,４番１３号,,054-252-3674,飲食店営業（弁当屋）,有限会社　桜寿し,,2015/04/08,30019785
和笑居,駿河区丸子三丁目,５番１号,,054-256-5959,飲食店営業（酒場）,鈴木　基廣,,2015/04/23,30019834
